query,forum_topics_url
ICI,https://mmb.moneycontrol.com/forum-topics/stocks/icici-bank-6422.html
ICICIBANK,https://mmb.moneycontrol.com/forum-topics/stocks/icici-bank-6422.html
IDBI,https://mmb.moneycontrol.com/forum-topics/stocks/idbi-bank-2643.html
IDBIBANK,https://mmb.moneycontrol.com/forum-topics/stocks/idbi-bank-2643.html
IFCI,https://mmb.moneycontrol.com/forum-topics/stocks/ifci-3239.html
INDAL,https://mmb.moneycontrol.com/forum-topics/stocks/indal-12621.html
INDGYPSUM,https://mmb.moneycontrol.com/forum-topics/stocks/india-gypsum-243438.html
INDHOTEL,https://mmb.moneycontrol.com/forum-topics/stocks/indian-hotels-19810.html
INDIACEM,https://mmb.moneycontrol.com/forum-topics/stocks/india-cements-5881.html
INDIAGLYCO,https://mmb.moneycontrol.com/forum-topics/stocks/india-glycols-2084.html
INDIANCARD,https://mmb.moneycontrol.com/forum-topics/stocks/indian-card-23702.html
INDIAPHOTO,https://mmb.moneycontrol.com/forum-topics/stocks/kodak-india-28503.html
INDORAMA,https://mmb.moneycontrol.com/forum-topics/stocks/indo-rama-synth-4481.html
INDRAMEDCO,https://mmb.moneycontrol.com/forum-topics/stocks/indraprastha-126796.html
INDUSINDBK,https://mmb.moneycontrol.com/forum-topics/stocks/indusind-bank-666.html
INFARINDIA,https://mmb.moneycontrol.com/forum-topics/stocks/infar-india-134776.html
INFOMEDIA,https://mmb.moneycontrol.com/forum-topics/stocks/infomedia-press-166355.html
INFOSYSTCH,https://mmb.moneycontrol.com/forum-topics/stocks/infosys-4001.html
INFOTECENT,https://mmb.moneycontrol.com/forum-topics/stocks/cyient-3644.html
INGERRAND,https://mmb.moneycontrol.com/forum-topics/stocks/ingersoll-rand-7403.html
INSILCO,https://mmb.moneycontrol.com/forum-topics/stocks/insilco-20502.html
INTLTRAVHS,https://mmb.moneycontrol.com/forum-topics/stocks/intl-travel-13743.html
INVELTRANS,https://mmb.moneycontrol.com/forum-topics/stocks/gkn-invel-trans-243007.html
INVESTCORP,https://mmb.moneycontrol.com/forum-topics/stocks/pioneer-invest-244607.html
IOB,https://mmb.moneycontrol.com/forum-topics/stocks/iob-542.html
IOC,https://mmb.moneycontrol.com/forum-topics/stocks/ioc-4261.html
IOL,https://mmb.moneycontrol.com/forum-topics/stocks/iol-chemicals-245753.html
IONEXCHANG,https://mmb.moneycontrol.com/forum-topics/stocks/ion-exchange-56161.html
IPCALAB,https://mmb.moneycontrol.com/forum-topics/stocks/ipca-labs-6721.html
IPCL,https://mmb.moneycontrol.com/forum-topics/stocks/ipca-labs-6721.html
ISPATIND,https://mmb.moneycontrol.com/forum-topics/stocks/jsw-ispat-steel-12581.html
ITC,https://mmb.moneycontrol.com/forum-topics/stocks/itc-341.html
ITCHOTEL,https://mmb.moneycontrol.com/forum-topics/stocks/itc-hotels-533661.html
ITI,https://mmb.moneycontrol.com/forum-topics/stocks/iti-12542.html
J&KBANK,https://mmb.moneycontrol.com/forum-topics/stocks/jk-bank-8362.html
JAGSNPHARM,https://mmb.moneycontrol.com/forum-topics/stocks/jagsonpalpharma-40223.html
